dkyh fgV cM+h  
yky fgV cM+h  
:e ?s?kj  
",- lh- ls.V  "
"lqxj fVfd;k ,e- ch- 500 xzke"
nw/k ikmMj uslys 400 xzke
pk; iRrh Mksjk rkt egy 100 ikmp
LVsIkyj cM+k 
LVsiyj NksVk  
cM+s LVsiyj dh fiusa
NksVs LVsiyj dh fiusa
lwtk  
rkys gSjhlu  
isij oSV  
vksMksfuy  
diwj dh xksyh
vkyfiu dh fMCch  
"xksan dh ?kh?kh NksVh 150 ,e-,y- "
"xksan dh ?kh?kh cM+h 700 ,e-,y- "
gkjfid
lQsn fQukby 1 yhVj  
lQsn fQukby 2 yhVj
lQsn fQukby 5 yhVj  
fMVkWy NksVk 100 xzke
?kM+h ikmMj 220 xzke
MLVfcu cM+k  
MLVfcu NksVk
"?kM+h dk lSy ,ojjsMh  "
dSYdwysVj dk lSy fuIiks  
tSy iSu  
dyenku iSu uhyk] dkyk] yky] gjk
iap Iykl CkM+k 
iap Iykl NksVk  
Vsfcy VkWi cM+k
LdSp iSu dkyk] uhyk] gjk] yky
bySfDV¦d ?kaVh fDyd
lSy okyh ?kaVh  
isfUly uVjkt
jcj
pijk
ekfdZu izfr eh0
LdSy ¬12 baph«
"lsUpwjh isij ,4 izfr fje"
",Q- ,Dl- fje izfr "
Mcy dkcZu dEI;wVj isij 12x15
QSDl jkSy izfr
fyQkQs cM+k ¬cklh isij«
fyQkQs lQsn 9x4 izfr lSdM+k 
fyQkQs cMs 16x12 izfr lSdM+k
fyQkQk NksVs 12x8 izfr lSdM+k
Nkrk 
VkspZ 3 lSy okyh ihry dh
pk; dh dsryh bySfDV¦d   
Xykl lknk izfr ux  
di IysV 6
cM+h IysV
NksVh IysV
Xykl ds <Ddu pkSdksj
Vh lsV  
pk; dsryh
dSEij 5 yh0] 10 yh0
Fkjel 2 yh0  
VSx yPNh
xkM+h dh cM+h rkSfy;k lQsn
ehfM;e rkSfy;k lQsn
NksVh rkSfy;k lQsn 
NksVh rkSfy;k jaxhu  
IykfLVd ckYVh 15 yh0 izfr  
IykfLVd eXxk
?wV bad  
gkbZykbVj ihyk
LVkEi iSM cM+k] NksVk  
LVkEi iSM dh L;kgh 
dSydwysVj ySiVkWi  
dkcZu uhyk  
dkcZUk Mcy  
bejtsalh ykbV
jftLVj 60 ist
jftLVj 100 ist
jftLVj 150 ist
jftLVj 200 ist
jftLVj 300 ist
jftLVj 400 ist
jftLVj 500 ist
ikuh yste dk iSdsV
iSjnku
lhdksa dh >kMw izfr ux
Qwy >kMw izfr ux
Qkby doj
tudk;Z foHkkx dh Qkby doj yky] ihyh] gjh] LysVh

